Date,HomeTeam,AwayTeam,Referee,RefereeID,RefereeCareerGames,RefereeCareerYellow,RefereeCareerRed
2026-09-19,Nacional,Famalicao,Gustavo Correia,2177,188,1061,56
2026-09-19,Gil Vicente,CS Marítimo,Bruno Jose Ribeiro Pires Costa,2339,103,467,15
2026-09-19,Alverca,Rio Ave,Luis Carlos Mateus Filipe,2391,32,148,6
2026-09-19,Sp Lisbon,Arouca,David Rafael Oliveira da Silva,2116,129,733,25
2026-09-20,Guimaraes,Moreirense,Sergio Guelho,2187,61,289,9
2026-09-20,CF Estrela Amadora,Académico Viseu FC,Andre Filipe Domingues Narciso,2308,210,1154,27
2026-09-20,Santa Clara,Sporting Braga,Fabio Jose Costa Verissimo,1638,374,2151,71
2026-09-20,Estoril,Casa Pia,Pedro Ramalho,2344,80,430,16
2026-09-20,Porto,Benfica,Miguel Nogueira,2170,158,759,29
